epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4036.51,1.23134,0.94657,1.18626,0.80443,0.64363,0.72284,0.43036,1.31699,0.82975,1.18469,0.000771721,0.000771721,0.000771721
43,4128.94,1.21513,0.93753,1.18026,0.8132,0.63902,0.7234,0.43081,1.31277,0.82826,1.18142,0.000753722,0.000753722,0.000753722
44,4221.78,1.21648,0.93724,1.17824,0.80917,0.64193,0.72454,0.43277,1.30687,0.82452,1.1783,0.000735577,0.000735577,0.000735577
45,4314.29,1.20623,0.9297,1.17724,0.81227,0.6417,0.72671,0.43602,1.3047,0.81844,1.18073,0.000717305,0.000717305,0.000717305
46,4406.75,1.20943,0.93196,1.17637,0.81286,0.64146,0.72798,0.43846,1.2991,0.81764,1.17776,0.000698922,0.000698922,0.000698922
47,4498.82,1.1968,0.92286,1.17224,0.81523,0.64446,0.7308,0.43916,1.29998,0.81864,1.17933,0.000680448,0.000680448,0.000680448
48,4590.7,1.20068,0.92104,1.17381,0.8162,0.64343,0.73084,0.4394,1.30007,0.81455,1.17927,0.0006619,0.0006619,0.0006619
49,4683.3,1.19708,0.91879,1.16951,0.81847,0.64306,0.72956,0.43984,1.29579,0.81402,1.17679,0.000643298,0.000643298,0.000643298
50,4775.5,1.18882,0.9111,1.16523,0.81459,0.6446,0.72982,0.44076,1.29207,0.81085,1.17459,0.000624658,0.000624658,0.000624658
51,4868.05,1.18577,0.91154,1.16528,0.81229,0.64568,0.72985,0.4415,1.29068,0.80864,1.17415,0.000606,0.000606,0.000606
52,4960.37,1.18633,0.90848,1.16606,0.81183,0.64672,0.72989,0.44298,1.28765,0.80678,1.17168,0.000587342,0.000587342,0.000587342
53,5052.63,1.17585,0.901,1.15984,0.81048,0.64871,0.72976,0.44388,1.28387,0.80552,1.16905,0.000568702,0.000568702,0.000568702
54,5144.79,1.17813,0.90106,1.15837,0.8123,0.64709,0.72943,0.44453,1.28201,0.8037,1.16725,0.0005501,0.0005501,0.0005501
55,5236.85,1.17534,0.90016,1.15977,0.81223,0.64841,0.73003,0.4454,1.27871,0.80129,1.16556,0.000531552,0.000531552,0.000531552
56,5329.91,1.16694,0.88979,1.15331,0.81578,0.6464,0.731,0.4461,1.27713,0.8,1.16387,0.000513078,0.000513078,0.000513078
57,5422.36,1.17008,0.89703,1.15816,0.81667,0.64647,0.73186,0.44641,1.2754,0.79775,1.16336,0.000494695,0.000494695,0.000494695
58,5514.38,1.16064,0.88417,1.15305,0.81717,0.64719,0.73216,0.44752,1.27569,0.79654,1.16364,0.000476423,0.000476423,0.000476423
59,5606.96,1.16609,0.88422,1.15427,0.81969,0.64887,0.73355,0.44811,1.27463,0.79526,1.16395,0.000458278,0.000458278,0.000458278
60,5699.3,1.14883,0.87673,1.14733,0.81512,0.65059,0.73347,0.44831,1.27365,0.79378,1.16363,0.000440279,0.000440279,0.000440279
61,5791.25,1.14295,0.87036,1.1428,0.81977,0.64858,0.73418,0.44899,1.27285,0.79307,1.16259,0.000422444,0.000422444,0.000422444
62,5883.19,1.1414,0.87104,1.14303,0.81933,0.64961,0.73457,0.44931,1.27169,0.79229,1.16165,0.00040479,0.00040479,0.00040479
63,5975.24,1.13555,0.86678,1.14129,0.8156,0.65244,0.73437,0.44967,1.27085,0.79131,1.16112,0.000387334,0.000387334,0.000387334
64,6067.43,1.14223,0.86608,1.13973,0.81685,0.6515,0.7346,0.44992,1.27026,0.79047,1.16031,0.000370094,0.000370094,0.000370094
65,6159.67,1.14032,0.86226,1.1381,0.81736,0.65206,0.73538,0.45029,1.27012,0.78976,1.15994,0.000353087,0.000353087,0.000353087
66,6252.03,1.1362,0.86032,1.13871,0.82013,0.65056,0.73582,0.45046,1.26997,0.7894,1.15963,0.00033633,0.00033633,0.00033633
67,6344.46,1.13073,0.85692,1.13399,0.82143,0.65074,0.73564,0.4507,1.26973,0.78902,1.1595,0.000319838,0.000319838,0.000319838
68,6436.77,1.12927,0.85602,1.13641,0.82165,0.64999,0.73595,0.45158,1.26996,0.78885,1.15941,0.000303629,0.000303629,0.000303629
69,6528.94,1.12266,0.85174,1.13259,0.82265,0.64916,0.73602,0.45168,1.26898,0.78755,1.15867,0.000287719,0.000287719,0.000287719
70,6621.36,1.12247,0.84758,1.12992,0.82146,0.65084,0.73697,0.45218,1.26865,0.78698,1.15818,0.000272122,0.000272122,0.000272122
71,6714.03,1.12928,0.85286,1.13277,0.82012,0.65188,0.7368,0.45218,1.26833,0.78615,1.15764,0.000256856,0.000256856,0.000256856
72,6806.44,1.12468,0.85021,1.13064,0.81879,0.65244,0.73762,0.45269,1.26858,0.78561,1.15779,0.000241933,0.000241933,0.000241933
73,6898.42,1.11364,0.84328,1.12846,0.81869,0.65253,0.73793,0.45279,1.2689,0.78482,1.15774,0.00022737,0.00022737,0.00022737
74,6990.77,1.11759,0.84147,1.12751,0.81824,0.65225,0.73793,0.45303,1.26892,0.78449,1.15754,0.000213181,0.000213181,0.000213181
75,7082.98,1.11409,0.83971,1.1259,0.81759,0.65258,0.73787,0.45322,1.26832,0.78393,1.15728,0.000199379,0.000199379,0.000199379
76,7175.32,1.11084,0.83428,1.12421,0.818,0.65291,0.73832,0.4536,1.26787,0.78349,1.15692,0.000185979,0.000185979,0.000185979
77,7267.16,1.10435,0.83095,1.11998,0.81862,0.6531,0.73848,0.45368,1.26765,0.78275,1.15689,0.000172993,0.000172993,0.000172993
78,7359.91,1.11071,0.84005,1.12497,0.81918,0.65277,0.73851,0.45414,1.26725,0.78203,1.15637,0.000160434,0.000160434,0.000160434
79,7452.14,1.10335,0.83283,1.12283,0.82042,0.65206,0.73845,0.45412,1.26683,0.78205,1.15594,0.000148315,0.000148315,0.000148315
